Quel est le continent le plus peuplé ?;L'Asie;L'Afrique;L'Amérique;L'Asie;L'Europe 
Quelle ligne imaginaire se trouve à égale distance du pôle Nord et du Pôle Sud ?;L'équateur;Tropique du Capricorne;L'équateur;Tropique du Cancer;Cercle Polaire
Quel est le plus grand océan du monde ?;L'océan Pacifique;L'océan Pacifique;L'océan Atlantique;L'océan Indien;L'océan Artique
La chaîne des Pyrénées appartient à deux pays européens. Lesquels ?;France-Espagne;France-Espagne;France-Suisse;France-Belgique;France-Italie
Dans quel pays se trouve San-Francisco;Les Etats-Unis;Le Canada;Le Mexique;Les Etats-Unis;Le Brésil
De quel pays Lisbonne est-elle la capitale ?;Le Portugal;L'Espagne;Le Portugal;Le Mexique;Le Chili
En France, qui dirige le gouvernement ?;Le Premier Ministre;Le Président;Le Peuple;Le Sénateur;Le Premier Ministre
Quel pays relie le tunnel du Mont-Blanc;France-Italie;France-Italie;France-Suisse;France-Espagne;France-Belgique
Dans quelle région se trouve le mont Saint-Michel ?;La Normandie;La Bretagne;La Normandie;Aquitaine ;Midi-Pyrénées
Quelle est la capital de la Russie ?;Moscou;Sotchi;Berlin;Londres;Moscou
Que symbolisent les 50 étoiles du drapeau Américain ?;Les 50 états;Les 50 présidents;Les 50 colonies;Les 50 sénateurs;Les 50 états
De quel pays New Delhi est-elle la capitale ?;L'Inde;Le Brésil;L'Irak;La Chine;L'Inde
