Quelle est la statue de New York qui a été offerte aux Américains par la France ?;La Statue de le Liberté;La Statue de le Liberté;La Statue de la Joie;La Statue de la Reconciliation;La Statue de la honte
Au Base-ball, comment appelle-t-on le bâton avec lequel on frappe la balle ?;La batte;La raquette;La batte;Le témoin ;La baguette
Comment appelle-t-on la fondue faite de fromage et de vin blanc ?;La fondue Savoyarde;La fondue Bourgignone;La fondue Paysanne;La fondue Savoyarde;La fondue de poireaux
Combien d'heures dure la course d'endurance automobile qui se déroule au Mans ?;24h;12h;24h;48h;76h
A Paris, dans la cour de quel musée trouve-t-on une pyramide de verre ?;Le Louvre;Le Musée Grévin;Le Louvre;Musée D'orsay;Musée Guimet
Quel petit héros de bande dessinée dit souvent « Tchô ! » ?;Titeuf;Cédric;Ducobu;Titeuf;Gaston Lagaffe
Sur quelle avenue de Paris se termine généralement le tour de France ?;Les Champs-Elysées;Général-Lemonnier;Les Champs-Elysées;De l'Opéra;Victoria
Quel est le nom de la poupée mannequin la plus vendue dans le monde ?;Barbie;Ken;Barbie;Action Man;Nina
Qu'a heurté le Titanic avant de sombrer ?;Un Iceberg;Un Animal Marin;Un Iceberg;Un Autre Bateau;Des Rochers
Combien de couleurs de chevaux y a-t-il dans le jeu des petits chevaux ?;Quatre;Deux;Six;Quatre;Huit
Comment s'appelle la méchante femme qui poursuit les 101 dalmatiens ?;Cruella;Cruella;Roger;Anita;Nanny
Combien y a-t-il d'épreuves dans un décathlon ?;Dix;Cinq;Dix;Huit;Sept
