Quelle couleur symbolise la St Patrick ?;Vert;Rouge ;Bleu;Vert;Jaune
Comment dit-on « Dis mon nom » en Anglais ?;Say my name;Tell me my name;Take my name;Talk my name;Say my name
Comment dit-on « L'hiver arrive » en Anglais ?;Winter is coming;Summer is coming;Spring is coming;Winter is coming;Automn is coming
Quel est le dessert traditionnel que l'on offre à Noël en Angleterre ?;Pudding;Prridge;Pudding;Crumble;CheeseCake
Quel héros était un héros de la table ronde ?;King Arthur;Robin Hood;William Tell;William Turner;King Arthur
Quel est le surnom de New York ?;Big Apple;Big Apple;Big Orange;City of Angels;Big Cherry
Qul est symbole de l'Angleterre ?;La Rose;La Pinte;Le Chardon;La Rose;La feuille d'érable
Quelle est la monnaie de l'Angleterre ?;La Livre Sterling;L'Euro;La Livre Sterling;La Lire;Le Deutsh Mark
Dans quel lieu peut-on trouver les joyaux de la couronne ?;London Tower;Buckingham Palace;London Tower;Tower Bridge;Westminster
« What » se traduit par ?;Quoi;Qui;Quoi;Comment;Pourquoi
« How » se traduit par ?;Comment;Qui;Quoi;Comment;Pourquoi
« Who » se traduit par ?;Qui;Qui;Quoi;Comment;Pourquoi
« Why » se traduit par ?;Pourquoi;Qui;Quoi;Comment;Pourquoi
Comment dit-on « Eté » en Anglais ?;Summer;Automn;Summer;Spring;Winter
« Good Bye » se traduit par ?;Au revoir;Au revoir;Bonjour;Bonsoir;A bientôt
Comment dit-on « Maison » en Anglais ?;Home;Place;Arena;Area;Home
Comment dit-on « Livre » en Anglais ?;Book;Chair;Read;Book;Mouse
Comment dit-on « Pain » en Anglais ?;Bread;Ham;Bread;Cheese;Meat
