Comment dit-on « Fille » en Anglais ?;Girl;Girl;Boy;Mother;Father
« Green » se traduit par ?;Vert;Vert;Jaune;Bleu ;Rouge
« Seven » se traduit par ?;Sept;Six;Sept;Huit;Neuf
Comment dit-on « Chien » en Anglais ?;Dog;Cat;Dog;Bird;Spider
Comment dit-on « Garçon » en Anglais ?;Boy;Girl;Mother;Boy;Father
Comment dit-on « Fleur » en Anglais ?;Flower;Tree;Garden;Pear;Flower
Comment dit-on « Jamais » en Anglais ?;Never;Often;Sometines;Never;Always
Comment dit-on « Jaune » en Anglais ?;Yellow;Red;Yellow;Green;Grey
Comment dit-on « Voiture » en Anglais ?;Car;Car;Plane;Boat;Bike
Comment dit-on « Chaise » en Anglais ?;Chair;Book;Chair;Desk;Board
Comment dit-on « Professeur » en Anglais ?;Teatcher;Professor;Nurse;Teatcher;Gardener
Comment dit-on « Stylo » en Anglais ?;Pen;Book;Pen;Ruler;Desk
