Quel est le COI dans : « Heureusement, j'ai remis ses livres à Gaëlle hier » ?;A Gaëlle;A Gaëlle;Heureusement;Hier;Ses Livres
Quel verbe est à l'origne du nom « composition » ?;Composer;Décomposer;Composer;Compenser;Décontenancer
En 8 lettres : petite rivière.;Ruisseau;Cours d'eau;Océan;Fleuve;Ruisseau
Ajoute un préfixe pour trouver le contraire de « sain ».;Malsain;Mauvais;Contagieux;Malsain;Impur
Quel est le COD dans : « Vous les regarderez par la fenêtre »;Les;Vous;Par;Les;Il n'y en a pas
Classe par ordre alphabétique : ruche, riche, tour.;Riche,Ruche,Tour;Riche,Ruche,Tour;Ruche,Riche,Tour;Tour,Ruche,Riche;Tour,Riche,Ruche
Quel est le temps du verbe dans la phrase : « Ils ne dirent rien » ?;Passé Simple;Imparfait;Participe Passé;Futur;Passé Simple
Comment appelle-t-on quelqu'un qui ne voit plus que d'un oeil ?;Un Borgne;Un Borgne;Un Aveugle;Un Cyclope;Un Manchot
Quel est le sujet dans la phrase : « Sur le sol tombèrent les feuilles » ?;Les feuilles;Le sol;Tombèrent;Les feuilles;Sur
En 8 lettres : elle conduit la fumée hors de la maison. ;Cheminée;Corridor;Fenêtres;Cyclones;Cheminée
Qu'a perdu un amnésique ?;La mémoire;Son téléphone;Son adresse;Ses clés;La mémoire
Comment appelle-t-on une personne dont le métier est d'écrire des livres ?;Un écrivain;Un écrivain;Un plombier;Un littéraire;Un libraire
