Complète : « Rien ne sert de courir, il faut partir ... »;A point;En retard;A point;Tout juste;En voiture
Quel est le complément de lieu dans : « Dans son sac, il empila ses livres » ?;Dans son sac;Ses Livres;Il;Empila;Dans son sac
Quel mot vient d'abord dans le dictionnaire ?;Faire;Flûte;Faire;Flaque;Pas dans le dico.
Quel nom est contenu dans l'adverbe « secrétement » ?;Secret;Inconnu;Silencieux;Dissimulé;Secret
Quel est l'adjectif possessif  ?;Notre;Aucun des trois;Notre;Cette;Celui-ci
Quelle langue, autrefois parlée par les Romains est à l'origne du français ?;Le Latin;Le Latin;Le Grec;L'Anglais;Le Flammand
Ajoute deux lettres pour trouver le contraire de « Logique »;Illogique;Syllogique;Alogique;Illogique;Sillogique
Quel est le nom de la même famille que le verbe « augmenter » ?;L'Augmentation;L'Augmentage;L'Augmenté;L'Augmentance;L'Augmentation
En changeant le préfixe, trouve le contraire de « malveillant »;Bienveillant;Bonveillant;Bienveillant;Bonveilleur;Bienveilleur
Quel adjectif, en 7 lettres signifie « sans odeur » ?;Inodore;Inodore;Inanimé;Indigne;Infinie
Selon le proverbe, qu'est-ce qui « ne fait pas le moine » ?;L'habit;L'habit;La toge;La cape;La robe
Quel animal demande au Petit Prince de l'apprivoiser ?;Le Renard;La Chèvre;Le Mouton;Le Chien;Le Renard
Quel adjectif a le sens le plus fort ?;Essentiel;Essentiel;Important;Intéressant;Aucun des Trois
Quel verbe est à la forme pronominale  ?;Se regarder;Suivre;Se regarder;Souhaiter;Aucun des Trois
Quel mot a le sens le plus fort  ?;Insupportable;Gênant ;Insupportable;Désagréable;Aucun des Trois
Quel est le synonyme de « ressentir » ?;Eprouver;Eprouver;Renifler;Enlever;Aucun des Trois
Comment appelle-t-on quelqu'un qui n'a plus qu'un bras ?;Un manchot;Un Cul-de-jatte;Un borgne;Un manchot;Un Handicapé
Quel mot a le sens le plus fort ?;Haine;Aucun des Trois;Haine;Colère;Ressentiment
