Comment appelle-t-on un polygone à quatre côtés ?;Un Quadrilatère;Un Triangle;Un Cercle;Un octogone;Un Quadrilatère
Convertis 3 920m en km;3,92km;39,2km;3,92km;392,0km;3920,0km
Combien de quarts faut-il pour obtenir 1 ?;4;1;2;3;4
Quel est le plus grand nombre que l'on peut écrire avec un 3, un 4, un 5 et un 6 ?;6543;3456;6543;3456;5634
Quel est le chiffre des dixièmes dans 305,26 ?;2;6;2;5;3
Combien de côtés possède un octogone ?;8;5;6;8;7
Quel est le double de 1320 ?;2640;1320;2640;2641;2310
Quel quadrilatère n'a pas d'angle droit ?;Le Losange;Le carré;Le Losange;Le rectangle;Aucun des trois
Jean a vendu un vélo à 115€ et 3 jeux à 8€ l'un. Combien a-t-il obtenu ?;139,00 €;166,00 €;120,00 €;110,00 €;139,00 €
Combien faut-il ajouter à 39 pour obtenir 60 ?;21;21;11;31;41
Combien font 6 x 4 x 2 ?;48;48;22;42;36
Arrondis 2 375 à la centaine près.;2400;3000;2370;10000;2400
