J'ai bénéficié d'une réduction de 10 % sur une chemise à 30€. Combien l'ai-je payée ?;27,00 €;27,00 €;15,00 €;24,00 €;38,00 €
Quelles opérations doit-on faire pour trouver 44 avec un 2, un 6 et un 7 ?;6 x 7 + 2;6 + 7 x 2;6 x 2 + 7;6 x 7 + 2;6 x 7 x 2
Comment écrit-on 120 en chiffres romains ?;CXX;CXX;XXC;LCX;LLX
Quel nombre s'écrit XC en chiffres romains ?;90;110;90;80;70
Combien faut-il de centimètres pour obtenir 1km ?;100000;100000;10000;1000;100
Combien y a-t-il de minutes dans deux heures et demie ?;150;150;60;120;3600
Calcul : 20,4 – 19,8.;0,6;1,6;0,4;0,6;1,4
Quel est le double du triple de 5 ?;30;10;15;30;20
Quel est le périmètre d'un carré de 6cm de côté ?;24 cm;12 cm;18 cm;24 cm;36 cm²
Quel est le triple du double de la moitié de 12 ?;36;6;36;24;42
Arrondis 12,23 au dixième.;12,2;12,2;12;12,23;12,23
Quel est le résultat de 845 + 218 ?;1063;1063;1263;1078;Aucun des trois
Quelle est l'aire d'un rectangle de 10cm de long et de 6cm de large ?;60cm²;600cm²;60 mètres cubes;60cm²;6m²
Une piscine mesure 30m x 6m x 2m. Combien faut-il de mètres cubes d'eau pour la remplir ?;360 mètres cubes;900 mètres cubes;120 mètres cubes;263 mètres cubes;360 mètres cubes
Quelle unité de longueur correspond à 100 décimètres ?;Le décamètre;Le décimètre;Le décamètre;L'hectomètre;Le mètre
Quel segment part du périmètre du cercle pour en rejoindre le centre ?;Le rayon;Le périmètre;Le diamètre;La circonférence;Le rayon
Quelle est la moitié de 386 ?;193;193;143;243;179
Grand-père Nicolas est né en 1937. Quel âge avait-il en 1968 ?;31 ans;30 ans;32 ans ;31 ans;33ans
