Quel gaz est absolument nécessaire à la vie ?;L'oxygène;L'hydrogème;L'oxygène;L'azote;Un Oiseau de mer
Quel oiseau symbolise la paix ?;La Colombe;Le Pigeon;La Colombe;L'Hirondelle;Le Vautour
Comment appelle-t-on le voyage que font les hirondelles vers des pays plus chauds ?;La Migration;L'Exode;L'Hibernation;La Migration;L'Immigration
Quel mot désigne le haut d'un tige de maïs et une mèche de cheveux rebelle ?;L'Epi;La Feuille;La Racine;L'Epi;La Fleur
Comment appelle-t-on les grains de glace qui tombent parfois pendant un orage ?;Le Grêlons;Le neige;La foudre;La pluie;Le Grêlons
Quelle colonne se trouve dans le corps ?;La Colonne Vertébrale;La Colonne d'Aération;La Colonne Ossuaire;La Colonne Vertébrale;La Colonne Elémentaire
Dans quelle partie du corps se trouve la rotule ?;Le Genou;La Cheville;Le Genou;Le Dos;Le Coude
Comment appelle-t-on une réaction incontrôlable et très rapide ?;Un Réflexe;Un Baillement;Un Réflexe;Une Nausée;Une Entorse
Dans quel organe va l'air quand on respire ?;Les Poumons;Le Coeur;Les Reins;Le Foie;Les Poumons
Que rejette-t-on en expirant ?;Du Gaz Carbonique;L'hydrogème;Du Gaz Carbonique;L'azote;Du Méthane
Que produisent les glandes lacrymales ?;Des Larmes;De la Salive;Des Larmes;La Bile;La Muqueuse
J'ai deux oreillettes et deux ventricules, et je bats environ 70 fois/min. Qui suis-je ?;Le cœur;Le cœur;Les Reins;Les Poumons;Le Foie
