De quoi se nourrit le héron ?;De Poissons;De Poissons;D'Insectes;De Rongeurs;De Graines
Comment appelle-t-on les animaux qui n'ont pas de squelette ?;Les invertébrés;Les Vertébrés;Les Mammifères;Les Ovipares;Les invertébrés
Que mange un plante carnivore ?;Des Insectes;De la Viande;Des Insectes;De l'herbe;Les autres plantes
Quel est le mammifère dont le cri ressemble, dit-on, au rire de l'homme ?;La hyène;Le guépard;La hyène;le lion;Le tigre
De quel continent sont originaires les cochons d'Inde ?;L'Amérique Du Sud;D'Inde;D'Asie;L'Amérique Du Sud;D'Europe
De quoi s'imprègnent les aliments avant de passer dans l'oesophage ?;De Salive;La Bile;De Salive;La Muqueuse;D'Eau
Qu'est ce qui peut être guéri par une grosse frayeur ?;Le Hoquet;Le Vertige;Le Stress;Le Hoquet;La Faim
Combien un adulte possède-t-il normalement de dents de sagesse ?;4;2;4;6;8
A quel organe du corps l'appendice appartient-il ?;L'Intestin ;Le foie;L'estomac;Les Reins;L'Intestin 
Quel liquide vert le foie produit-il pour faciliter la digestion ?;La Bile;La Bile;De Salive;La Muqueuse;De l'Eau
Comment appelle-t-on les dents de devant ?;Les Incisives;Les Molaires;les Canines;Les Incisives;Les Dents de Sagesses
Comment appelle-t-on le procédé qui permet d'endormir un malade avant une opération ?;L'anésthésie;L'hospitalisation;L'intervention;L'anésthésie;L'amnésie
Combien un homme possède-t-il de reins ?;2;0;1;2;4
Quels organes ont pour fonction de nettoyer le sang ?;Les Reins;Les Reins;Le Coeur;Le Foie;Les Poumons
Sur quelle partie du corps humains sont situées les papilles ?;La Langue;Les Yeux;La Peau;La Langue;Les Doigts
Qu'est-ce qu'un goéland ?;Un Oiseau de mer;Un Oiseau de Chasse;Un Oiseau Voyageur;Un Rapace;Un Oiseau de mer
De quoi souffre-t-on quand on a peur du vide?;Le Vertige;L'amnésie;Une Migraine;Un Cancer;Le Vertige
Quel organe permet de réfléchir et de commander ses mouvements ?;Le Cerveau;Le Muscle;Le Tendon;Le Cerveau;L'Articulation
